Wall time,Step,Value
1719599969.5620632,1200,33.0
1719600074.1365876,2400,21.0
1719600183.0339625,3600,21.0
1719600290.9127545,4800,21.0
1719600391.8125858,6000,21.0
1719600485.5648596,7200,21.0
1719600582.8685663,8400,21.0
1719600688.3824975,9600,19.0
1719600791.091189,10800,21.0
1719600895.4461706,12000,21.0
1719601000.2320712,13200,21.0
1719601088.3930032,14400,21.0
1719601189.2289941,15600,21.0
1719601284.6153955,16800,21.0
1719601381.0295837,18000,18.0
1719601476.7574193,19200,21.0
1719601580.2306132,20400,21.0
1719601683.3674717,21600,21.0
1719601788.2000725,22800,21.0
1719601891.8376005,24000,21.0
1719601995.105383,25200,21.0
1719602092.93917,26400,21.0
1719602198.8999522,27600,21.0
1719602299.5048544,28800,21.0
1719602399.1569264,30000,21.0
1719602502.6490781,31200,21.0
1719602604.5252519,32400,15.0
1719602711.035346,33600,21.0
1719602813.2384303,34800,20.0
1719602919.0154552,36000,21.0
1719603024.820182,37200,21.0
1719603128.3254414,38400,21.0
1719603231.921358,39600,21.0
1719603336.6867347,40800,21.0
1719603445.0367525,42000,21.0
1719603550.8819404,43200,21.0
1719603650.6293602,44400,21.0
1719603758.5840914,45600,21.0
1719603857.5179687,46800,16.0
1719603963.2005384,48000,16.0
1719604070.3555048,49200,21.0
1719604175.7849362,50400,21.0
1719604285.626706,51600,21.0
1719604395.5228922,52800,21.0
1719604499.9085226,54000,21.0
1719604603.1958284,55200,20.0
1719604708.901524,56400,19.0
1719604819.0459423,57600,21.0
1719604929.0468497,58800,21.0
1719605038.0822568,60000,21.0
1719605142.6623733,61200,21.0
1719605247.7162468,62400,21.0
1719605360.7337644,63600,21.0
1719605470.0366056,64800,21.0
1719605578.7977557,66000,16.0
1719605688.0320637,67200,21.0
1719605804.6152186,68400,20.0
1719605918.8208494,69600,21.0
1719606038.9909804,70800,12.0
1719606147.4937341,72000,21.0
1719606263.8743005,73200,21.0
1719606385.531483,74400,15.0
1719606501.7002938,75600,21.0
1719606622.3748646,76800,13.0
1719606745.2516003,78000,13.0
1719606859.9031835,79200,17.0
1719606973.2957442,80400,21.0
1719607088.9338725,81600,21.0
1719607210.5743792,82800,21.0
1719607332.3099833,84000,14.0
1719607459.762119,85200,15.0
1719607586.312452,86400,21.0
1719607713.3432317,87600,14.0
1719607839.9475863,88800,8.0
1719607967.6812065,90000,21.0
1719608096.1804395,91200,14.0
1719608227.510776,92400,21.0
1719608354.258307,93600,21.0
1719608476.456615,94800,21.0
1719608607.8397496,96000,17.0
1719608741.1931627,97200,12.0
1719608877.0927157,98400,13.0
1719609008.0937304,99600,9.0
1719609144.2727768,100800,18.0
1719609281.5986297,102000,21.0
1719609419.5116205,103200,17.0
1719609559.638171,104400,11.0
1719609686.0156946,105600,18.0
1719609815.7158787,106800,16.0
1719609941.7071552,108000,11.0
1719610074.8468804,109200,18.0
1719610210.181126,110400,13.0
1719610340.4951625,111600,21.0
1719610474.5489633,112800,5.0
1719610611.0501623,114000,12.0
1719610748.6684043,115200,14.0
1719610884.5008497,116400,18.0
1719611017.0841668,117600,17.0
1719611147.822176,118800,12.0
1719611285.2062876,120000,11.0
1719611419.0469594,121200,6.0
1719611554.402596,122400,16.0
1719611689.0048113,123600,13.0
1719611829.5674553,124800,6.0
1719611968.1002507,126000,21.0
1719612100.8829932,127200,21.0
1719612235.9134662,128400,16.0
1719612372.719949,129600,21.0
1719612512.6864886,130800,19.0
1719612653.928021,132000,15.0
1719612793.167597,133200,12.0
1719612931.9746587,134400,5.0
1719613070.926832,135600,13.0
1719613204.8083863,136800,8.0
1719613337.2016754,138000,12.0
1719613473.8362343,139200,16.0
1719613610.2790759,140400,11.0
1719613746.0798197,141600,15.0
1719613878.6267672,142800,18.0
1719614015.7581534,144000,19.0
1719614151.6063867,145200,8.0
1719614278.1271312,146400,8.0
1719614411.6949778,147600,14.0
1719614552.1194365,148800,11.0
1719614690.7960489,150000,13.0
1719614822.3121667,151200,17.0
1719614958.4669354,152400,4.0
1719615095.523845,153600,21.0
1719615224.242552,154800,10.0
1719615362.1961133,156000,11.0
1719615494.4102361,157200,7.0
1719615625.246618,158400,7.0
1719615751.4014337,159600,14.0
1719615870.6325662,160800,8.0
1719616007.9163163,162000,11.0
1719616136.3135061,163200,21.0
1719616273.6046832,164400,20.0
1719616406.8066685,165600,13.0
1719616539.6196678,166800,19.0
1719616670.0946002,168000,11.0
1719616804.5771878,169200,12.0
1719616928.8263059,170400,13.0
1719617059.5750573,171600,9.0
1719617185.7378273,172800,13.0
1719617324.9809084,174000,6.0
1719617466.097665,175200,10.0
1719617606.204317,176400,7.0
1719617744.4348922,177600,12.0
1719617873.3103936,178800,8.0
1719618011.0670276,180000,11.0
1719618148.7015724,181200,4.0
1719618288.6526976,182400,11.0
1719618423.10574,183600,10.0
1719618554.7902818,184800,9.0
1719618691.6069167,186000,10.0
1719618819.087616,187200,7.0
1719618955.4917588,188400,9.0
1719619086.4097655,189600,5.0
1719619215.2341673,190800,6.0
1719619337.2687929,192000,5.0
1719619469.1726935,193200,9.0
1719619597.424774,194400,6.0
1719619730.5968976,195600,7.0
1719619855.1082335,196800,6.0
1719619980.20463,198000,6.0
1719620110.9938724,199200,6.0
1719620240.440121,200400,6.0
1719620373.00169,201600,5.0
1719620508.3801193,202800,9.0
1719620641.0870342,204000,4.0
1719620772.4457345,205200,8.0
1719620912.823827,206400,6.0
1719621044.4207861,207600,4.0
1719621165.1100032,208800,4.0
1719621298.8053143,210000,6.0
1719621432.5083678,211200,6.0
1719621566.9140875,212400,8.0
1719621697.81286,213600,7.0
1719621830.6812954,214800,8.0
1719621957.7729461,216000,6.0
1719622077.7002206,217200,10.0
1719622205.9146473,218400,6.0
1719622328.5829935,219600,6.0
1719622461.703891,220800,5.0
1719622600.2464101,222000,8.0
1719622732.9004958,223200,6.0
1719622869.1799989,224400,5.0
1719623006.6954372,225600,5.0
1719623142.5014315,226800,5.0
1719623276.326307,228000,5.0
1719623410.641367,229200,7.0
1719623545.298781,230400,5.0
1719623680.592895,231600,8.0
1719623808.005089,232800,11.0
1719623940.0218573,234000,5.0
1719624073.5093536,235200,7.0
1719624212.219748,236400,12.0
1719624346.629454,237600,6.0
1719624483.0974464,238800,5.0
1719624617.4905653,240000,4.0
1719624754.1298468,241200,4.0
1719624889.4925368,242400,5.0
1719625020.0085895,243600,7.0
1719625161.7124805,244800,9.0
1719625292.698919,246000,6.0
1719625427.708209,247200,7.0
1719625548.0012178,248400,7.0
1719625676.496696,249600,7.0
1719625815.2691572,250800,5.0
1719625951.3875842,252000,5.0
1719626084.4251986,253200,10.0
1719626211.713628,254400,5.0
1719626349.689222,255600,6.0
1719626488.291995,256800,7.0
1719626624.7760904,258000,6.0
1719626764.8733368,259200,6.0
1719626894.3925757,260400,6.0
1719627021.5318031,261600,6.0
1719627156.3117156,262800,4.0
1719627291.222069,264000,6.0
1719627429.507284,265200,6.0
1719627566.2113256,266400,8.0
1719627690.5996895,267600,7.0
1719627816.6259553,268800,8.0
1719627946.808373,270000,6.0
1719628081.8208501,271200,6.0
1719628218.660643,272400,11.0
1719628348.998649,273600,6.0
1719628481.4021523,274800,5.0
1719628617.9168603,276000,5.0
1719628751.0797584,277200,4.0
1719628885.2166302,278400,5.0
1719629015.849684,279600,4.0
1719629151.0375674,280800,7.0
1719629288.4084435,282000,5.0
1719629424.8149822,283200,6.0
1719629556.520231,284400,5.0
1719629691.4918973,285600,12.0
1719629825.61287,286800,7.0
1719629961.1533196,288000,5.0
1719630097.233116,289200,7.0
1719630229.0981636,290400,6.0
1719630356.9001982,291600,10.0
1719630480.2886214,292800,10.0
1719630612.2070425,294000,9.0
1719630746.935313,295200,9.0
1719630886.1885026,296400,7.0
1719631021.2848277,297600,5.0
1719631150.929411,298800,6.0
1719631273.0975294,300000,6.0
1719631394.2120652,301200,6.0
1719631527.5570326,302400,6.0
1719631663.5093615,303600,9.0
1719631796.6335733,304800,6.0
1719631936.421301,306000,6.0
1719632076.7140982,307200,7.0
1719632207.2023454,308400,11.0
1719632340.2760706,309600,5.0
1719632474.2043056,310800,7.0
1719632611.157676,312000,8.0
1719632747.5362194,313200,9.0
1719632884.3758147,314400,8.0
1719633018.2465305,315600,9.0
1719633143.8183405,316800,5.0
1719633272.8171344,318000,6.0
1719633408.84442,319200,5.0
1719633540.306271,320400,9.0
1719633675.7453215,321600,7.0
1719633809.5574841,322800,5.0
1719633945.006381,324000,8.0
1719634059.5092418,325200,7.0
1719634193.1571743,326400,5.0
1719634329.8773987,327600,9.0
1719634471.4698243,328800,8.0
1719634610.5259936,330000,9.0
1719634750.3146744,331200,6.0
1719634884.908202,332400,7.0
1719635018.0113122,333600,6.0
1719635149.6030557,334800,7.0
1719635284.3642242,336000,9.0
1719635427.2150533,337200,6.0
1719635567.2259157,338400,6.0
1719635700.0083704,339600,6.0
1719635839.6967556,340800,10.0
1719635977.1808507,342000,8.0
1719636103.104837,343200,6.0
1719636221.1998029,344400,6.0
1719636349.1597917,345600,5.0
1719636488.1037514,346800,7.0
1719636617.7350504,348000,13.0
1719636752.3009257,349200,11.0
1719636888.1245356,350400,6.0
1719637003.9119496,351600,7.0
1719637117.990954,352800,8.0
1719637238.0555673,354000,7.0
1719637374.5859551,355200,4.0
1719637515.183845,356400,7.0
1719637648.8321533,357600,6.0
1719637788.2026973,358800,6.0
1719637927.0978742,360000,7.0
1719638057.8247828,361200,7.0
1719638194.6641517,362400,6.0
1719638333.3885486,363600,10.0
1719638474.212202,364800,6.0
1719638611.4920301,366000,6.0
1719638748.1670578,367200,7.0
1719638884.3838747,368400,9.0
1719639020.5936694,369600,6.0
1719639157.799692,370800,6.0
1719639295.559868,372000,8.0
1719639439.1037753,373200,5.0
1719639577.9865816,374400,6.0
1719639711.3843882,375600,5.0
1719639843.614315,376800,7.0
1719639976.7194831,378000,6.0
1719640113.1185858,379200,5.0
1719640246.3071382,380400,7.0
1719640380.9102538,381600,6.0
1719640517.108757,382800,6.0
1719640648.5986762,384000,6.0
1719640780.9053476,385200,5.0
1719640917.434735,386400,6.0
1719641049.6039033,387600,6.0
1719641183.6089737,388800,5.0
1719641319.6900084,390000,6.0
1719641454.5954256,391200,6.0
1719641580.498129,392400,6.0
1719641712.3014548,393600,9.0
1719641847.378437,394800,8.0
1719641985.1188374,396000,5.0
1719642123.0936916,397200,6.0
1719642260.429868,398400,5.0
1719642396.9870079,399600,7.0
1719642522.4764364,400800,7.0
1719642657.2881536,402000,9.0
1719642791.997427,403200,6.0
1719642925.794131,404400,8.0
1719643060.0093658,405600,8.0
1719643196.5674229,406800,8.0
1719643334.9713657,408000,7.0
1719643469.9050667,409200,5.0
1719643608.1296322,410400,6.0
1719643752.0261664,411600,4.0
1719643894.0119944,412800,5.0
1719644014.4001915,414000,9.0
1719644148.7025747,415200,7.0
1719644286.5078974,416400,7.0
1719644422.1037292,417600,7.0
