Wall time,Step,Value
1720956038.7286448,4800,51.0
1720956155.5346925,6000,51.0
1720956825.1270373,13200,51.0
1720957264.8466492,18000,51.0
1720957368.9219847,19200,51.0
1720957731.5873044,22800,12.0
1720957847.556199,24000,46.0
1720957965.9458783,25200,49.0
1720958186.0454788,27600,51.0
1720958299.554095,28800,51.0
1720958615.0455563,32400,51.0
1720958708.9611335,33600,51.0
1720959856.745879,46800,51.0
1720960050.6676247,49200,51.0
1720960807.7190137,57600,51.0
1720960919.0795188,58800,42.0
1720961043.9724908,60000,51.0
1720961280.865346,62400,47.0
1720961635.4566808,66000,28.0
1720962002.2583559,69600,48.0
1720962353.531233,73200,51.0
1720962480.4829433,74400,32.0
1720962597.976681,75600,51.0
1720962715.1512117,76800,51.0
1720962950.6703851,79200,51.0
1720963071.8519917,80400,51.0
1720963191.7408154,81600,51.0
1720963309.799836,82800,49.0
1720963530.1964064,85200,39.0
1720963641.1343746,86400,51.0
1720964270.5957956,93600,31.0
1720964498.0454032,96000,51.0
1720964834.5281224,99600,44.0
1720965178.6905234,103200,42.0
1720965634.5735934,108000,51.0
1720966805.37157,120000,51.0
1720967299.0163028,124800,35.0
1720967652.582657,128400,51.0
1720967775.467614,129600,51.0
1720968013.1676545,132000,51.0
1720968854.7457054,140400,51.0
1720969430.0137808,146400,32.0
1720969867.055612,151200,31.0
1720969975.9684532,152400,36.0
1720970190.9740157,154800,51.0
1720970405.9834237,157200,51.0
1720971040.8264866,164400,51.0
1720971163.6761985,165600,41.0
1720971997.846683,174000,51.0
1720972244.6001377,176400,36.0
1720972367.2892582,177600,51.0
1720972742.2464547,181200,47.0
1720973611.55772,189600,43.0
1720973965.6502237,193200,51.0
1720974193.5693536,195600,51.0
1720974426.8384366,198000,20.0
1720975118.6056395,205200,45.0
1720975235.6628695,206400,51.0
1720975345.5074606,207600,51.0
1720975940.6871548,213600,51.0
1720976429.7616491,218400,40.0
1720976790.6151412,222000,51.0
1720976904.533965,223200,45.0
1720977016.8577838,224400,48.0
1720977485.3760905,229200,51.0
1720977596.946851,230400,36.0
1720977715.7290945,231600,46.0
1720978514.373624,240000,45.0
1720978837.8029578,243600,51.0
1720978949.2395792,244800,21.0
