Wall time,Step,Value
1720956038.7269337,4800,-14.354218482971191
1720956155.533012,6000,-14.751803398132324
1720956825.1260867,13200,-20.873016357421875
1720957264.8458254,18000,-15.380117416381836
1720957368.9208033,19200,-14.605976104736328
1720957731.5863967,22800,-6.056689262390137
1720957847.5550396,24000,-14.98730182647705
1720957965.9447935,25200,-14.060091018676758
1720958186.0441923,27600,-20.48015785217285
1720958299.5530834,28800,-16.113554000854492
1720958615.0445464,32400,-18.015872955322266
1720958708.9604194,33600,-11.202947616577148
1720959856.744916,46800,-17.385713577270508
1720960050.666854,49200,-27.113554000854492
1720960807.718282,57600,-22.78266143798828
1720960919.0780478,58800,-11.972222328186035
1720961043.9657996,60000,-18.267459869384766
1720961280.864647,62400,-17.201587677001953
1720961635.4553676,66000,-7.4579362869262695
1720962002.257044,69600,-12.914462089538574
1720962353.5246909,73200,-18.437118530273438
1720962480.4821799,74400,-8.539682388305664
1720962597.9759243,75600,-8.765872955322266
1720962715.1504707,76800,-18.353174209594727
1720962950.6691358,79200,-12.082010269165039
1720963071.8508008,80400,-18.915966033935547
1720963191.7396207,81600,-19.563491821289062
1720963309.793283,82800,-14.120879173278809
1720963530.1957097,85200,-9.14430046081543
1720963641.1337304,86400,-15.216450691223145
1720964270.594599,93600,-15.210317611694336
1720964498.0442934,96000,-14.746031761169434
1720964834.52726,99600,-13.249008178710938
1720965178.6896672,103200,-13.817989349365234
1720965634.5721278,108000,-23.16349220275879
1720966805.3705175,120000,-19.42116355895996
1720967299.0152423,124800,-12.592970848083496
1720967652.5813375,128400,-14.129630088806152
1720967775.4662578,129600,-13.431217193603516
1720968013.166498,132000,-14.184806823730469
1720968854.7444563,140400,-14.379508972167969
1720969430.0078223,146400,-8.253968238830566
1720969867.0548503,151200,-10.122099876403809
1720969975.9672763,152400,-10.862433433532715
1720970190.9691994,154800,-11.88968276977539
1720970405.9826658,157200,-12.617914199829102
1720971040.8192258,164400,-10.844671249389648
1720971163.6753602,165600,-12.412698745727539
1720971997.8456347,174000,-14.579975128173828
1720972244.5989792,176400,-12.954887390136719
1720972367.2884195,177600,-9.904762268066406
1720972742.2455363,181200,-12.111745834350586
1720973611.556384,189600,-9.507936477661133
1720973965.6495237,193200,-11.003663063049316
1720974193.5682836,195600,-9.249300003051758
1720974426.8376968,198000,-7.61904764175415
1720975118.6046565,205200,-12.486772537231445
1720975235.6619432,206400,-14.18820858001709
1720975345.5065534,207600,-15.702381134033203
1720975940.6859193,213600,-17.424161911010742
1720976429.760879,218400,-10.910934448242188
1720976790.6085877,222000,-17.956710815429688
1720976904.532927,223200,-14.134309768676758
1720977016.856624,224400,-14.000991821289062
1720977485.3753161,229200,-12.697354316711426
1720977596.9459722,230400,-9.11111068725586
1720977715.7282925,231600,-13.59147834777832
1720978514.372642,240000,-14.740363121032715
1720978837.8021586,243600,-17.884559631347656
1720978949.2386603,244800,-5.930158615112305
1720979056.4412231,246000,-6.211640357971191
1720979163.4722688,247200,-9.47525691986084
1720979377.3800695,249600,-9.28458023071289
1720979815.5593493,254400,-15.114890098571777
1720980045.1639018,256800,-16.595848083496094
1720980263.5668766,259200,-12.476190567016602
1720980696.1922414,264000,-16.595237731933594
1720980800.3226018,265200,-18.70833396911621
