Wall time,Step,Value
1721805698.6151044,6000,-40.81944274902344
1721807270.1454532,18000,-46.40277862548828
1721807418.7464633,19200,-34.04166793823242
1721807878.7317476,22800,-47.33333206176758
1721808031.9834924,24000,-46.01388931274414
1721808529.4933517,27600,-42.83333206176758
1721809202.6947849,32400,-32.36111068725586
1721809374.1665974,33600,-45.08333206176758
1721811449.7181487,49200,-43.18055725097656
1721812574.8025851,57600,-20.73611068725586
1721812736.033026,58800,-47.72222137451172
1721812901.1139126,60000,-42.125
1721813750.0761764,66000,-41.69444274902344
1721815082.7406642,75600,-46.61111068725586
1721815249.2495272,76800,-43.84722137451172
1721815756.3027813,80400,-46.625
1721815932.9361944,81600,-45.72222137451172
1721816449.1766381,85200,-44.43055725097656
1721816615.8848438,86400,-45.33333206176758
1721817653.0825446,93600,-40.25
1721818508.5749674,99600,-41.76388931274414
1721819712.728943,108000,-30.43055534362793
1721821387.5760567,120000,-42.36111068725586
1721822027.126988,124800,-48.02777862548828
1721822513.7091367,128400,-42.27777862548828
1721822673.9545574,129600,-41.97222137451172
1721824080.6565652,140400,-46.65277862548828
1721824849.228111,146400,-45.79166793823242
1721825433.7069206,151200,-45.86111068725586
1721825574.3181899,152400,-46.875
1721825859.4353294,154800,-44.125
1721826164.958547,157200,-49.40277862548828
1721827082.739821,164400,-47.27777862548828
1721827234.5216773,165600,-47.69444274902344
1721828378.6348605,174000,-44.61111068725586
1721828715.3303275,176400,-43.23611068725586
1721828883.1557949,177600,-46.97222137451172
1721829389.0222745,181200,-45.30555725097656
1721830569.3066926,189600,-44.70833206176758
1721831065.1761158,193200,-46.08333206176758
1721831394.9319487,195600,-45.56944274902344
1721831727.9629145,198000,-44.01388931274414
1721832886.7194946,206400,-46.81944274902344
1721833043.4831345,207600,-43.26388931274414
1721833854.7415707,213600,-47.61111068725586
1721835026.5557914,222000,-41.41666793823242
1721835193.417237,223200,-43.63888931274414
1721835366.106883,224400,-38.29166793823242
1721836052.318665,229200,-37.5
1721836223.0907395,230400,-37.20833206176758
1721836386.3946269,231600,-40.47222137451172
1721837543.2004774,240000,-38.34722137451172
1721837994.3143764,243600,-40.41666793823242
1721838155.7153628,244800,-38.86111068725586
1721838322.4078279,246000,-41.94444274902344
1721838488.5401428,247200,-40.68055725097656
1721838796.1371858,249600,-32.23611068725586
1721839431.1951642,254400,-44.51388931274414
1721839738.7776098,256800,-38.94444274902344
1721840055.5359938,259200,-41.5
1721840842.610926,265200,-39.95833206176758
1721841000.864443,266400,-38.26388931274414
1721841459.3084524,270000,-33.83333206176758
1721842257.7562912,276000,-45.73611068725586
1721844643.3992026,294000,-44.06944274902344
1721844798.933454,295200,-18.45833396911621
1721844952.82884,296400,-43.83333206176758
1721846843.5951626,310800,-39.98611068725586
1721846985.300813,312000,-43.15277862548828
1721847123.9490612,313200,-40.38888931274414
1721848809.9343684,326400,-42.65277862548828
1721849293.2980754,330000,-39.36111068725586
1721849611.572178,332400,-44.38888931274414
1721849920.420293,334800,-41.15277862548828
1721850571.7090578,339600,-43.86111068725586
1721851076.5390382,343200,-37.05555725097656
1721851574.5256395,346800,-45.08333206176758
1721851909.2505348,349200,-41.88888931274414
1721852743.7820399,355200,-39.31944274902344
