Wall time,Step,Value
1722694873.208721,1200,-23.1875
1722695225.1246758,3600,-4.563301086425781
1722695420.3983996,4800,-1.3429012298583984
1722695602.3944392,6000,-1.4295865297317505
1722696191.3755376,9600,-1.2598179578781128
1722696550.917133,12000,-1.8159722089767456
1722696722.0960438,13200,-3.667874336242676
1722696895.7932239,14400,-2.2054924964904785
1722697439.2276373,18000,-7.434999942779541
1722697615.2176073,19200,-3.9715278148651123
1722697806.0132852,20400,-3.2638888359069824
1722698198.5781908,22800,-3.4034390449523926
1722698391.9929368,24000,-4.502240180969238
1722698586.959507,25200,-6.548177242279053
1722698954.6246963,27600,-4.419444561004639
1722699138.4252493,28800,-2.5607638359069824
1722699663.4476562,32400,-9.206439018249512
1722699841.969046,33600,-4.201023578643799
1722700016.1105633,34800,-3.2055554389953613
1722700199.842296,36000,-4.651041507720947
1722700383.317887,37200,-4.21467399597168
1722700566.0804236,38400,-4.459596157073975
1722700749.3305993,39600,-3.192129611968994
1722700927.5996873,40800,-2.624552011489868
1722701106.5024757,42000,-3.215277671813965
1722701446.1003473,44400,-5.273148059844971
1722701615.3435922,45600,-6.37595796585083
1722701798.6195672,46800,-2.456552743911743
1722701975.4918132,48000,-3.838122606277466
1722702148.3071117,49200,-5.528846263885498
1722702664.3129013,52800,-5.4961419105529785
1722703356.1655843,57600,-6.722222328186035
1722703528.2430544,58800,-8.945436477661133
1722703701.0267527,60000,-7.959150314331055
1722703871.3174083,61200,-10.428333282470703
1722704031.2095654,62400,-9.043749809265137
1722704199.1533077,63600,-7.439542293548584
1722704359.9299774,64800,-4.7336602210998535
1722704510.3159747,66000,-5.992592811584473
1722704669.0834696,67200,-6.884259223937988
1722705010.7371237,69600,-9.644444465637207
1722705489.3360493,73200,-8.405303001403809
1722705643.4125664,74400,-6.9273505210876465
1722705806.120432,75600,-5.990555763244629
1722705974.9191554,76800,-9.270833015441895
1722706312.8379438,79200,-11.403311729431152
1722706489.4183147,80400,-6.824252128601074
1722706670.2085683,81600,-8.074999809265137
1722706849.9817147,82800,-6.31784200668335
1722707214.6580257,85200,-6.521241664886475
1722707386.921868,86400,-5.8125
1722707738.9012053,88800,-5.5
1722708074.3529189,91200,-7.419444561004639
1722708400.2530816,93600,-5.543889045715332
1722708559.7223458,94800,-5.201058387756348
1722708727.8360307,96000,-6.3009257316589355
1722708895.3071795,97200,-5.058035850524902
1722709063.8503573,98400,-3.258432626724243
1722709231.6958847,99600,-3.1236772537231445
1722709397.3159719,100800,-5.715773582458496
1722709728.966513,103200,-3.980072498321533
1722709888.9794414,104400,-6.274572849273682
1722710063.7139363,105600,-4.880290985107422
1722710402.1207254,108000,-7.235269546508789
1722710581.8766656,109200,-2.6385135650634766
1722710914.6493778,111600,-3.2940611839294434
1722711254.882363,114000,-2.456845283508301
1722711425.7456841,115200,-6.3045268058776855
1722711601.2696776,116400,-2.8517024517059326
1722712118.0117896,120000,-1.3701388835906982
1722712296.2210553,121200,-1.5534511804580688
1722712828.2761526,124800,-1.5687134265899658
1722713006.0353878,126000,-2.8145060539245605
1722713367.45547,128400,-2.9861111640930176
1722713542.008525,129600,-2.6472222805023193
1722713712.4050329,130800,-4.221875190734863
1722713887.521323,132000,-1.7822420597076416
1722714054.4979174,133200,-2.2875514030456543
1722714217.61302,134400,-1.6873016357421875
1722714381.1029017,135600,-2.3643791675567627
1722714711.4395256,138000,-2.5718255043029785
1722714896.9305482,139200,-1.2721471786499023
1722715073.0095842,140400,-2.3501157760620117
1722715253.4958732,141600,-1.8464912176132202
1722715774.903708,145200,-5.489583492279053
