Wall time,Step,Value
1718122834.6688986,1600,-12.073016166687012
1718122969.7996664,6400,-59.880950927734375
1718123013.0374107,8000,-83.31122589111328
1718123308.703649,17600,-46.345237731933594
1718123360.707237,19200,-55.003662109375
1718123518.8332973,24000,-70.28095245361328
1718123569.1973238,25600,-55.683982849121094
1718123714.9993055,30400,-53.11111068725586
1718123755.15972,32000,-69.38095092773438
1718123794.7672632,33600,-59.949493408203125
1718123870.5758507,36800,-58.18650817871094
1718123915.6267567,38400,-58.57143020629883
1718124047.6552114,43200,-49.74603271484375
1718124087.721056,44800,-65.54823303222656
1718124357.7032194,54400,-54.24561309814453
1718124487.004422,59200,-68.9145278930664
1718124532.0260978,60800,-58.63139343261719
1718124575.566851,62400,-66.57422637939453
1718124621.8833501,64000,-53.01234436035156
1718124663.8784542,65600,-68.29463958740234
1718124987.8713312,76800,-53.903629302978516
1718125039.1474183,78400,-66.64726257324219
1718125080.2660136,80000,-49.412696838378906
1718125158.7128885,83200,-55.65419387817383
1718125204.4965374,84800,-62.85592269897461
1718125292.1934462,88000,-56.10744857788086
1718125421.5095205,92800,-57.65608596801758
1718125556.7885478,97600,-64.28458404541016
1718125600.219171,99200,-60.97114181518555
1718125644.9179447,100800,-64.05873107910156
1718125688.475328,102400,-60.839683532714844
1718125772.6939762,105600,-59.2910041809082
1718125815.6101573,107200,-65.39795684814453
1718125861.0468986,108800,-50.27350616455078
1718125913.1128156,110400,-58.278770446777344
1718126011.428163,113600,-50.02597427368164
1718126060.8649602,115200,-68.07081604003906
1718126336.4284866,124800,-50.11463928222656
1718126426.371509,128000,-46.14881134033203
1718126469.7227445,129600,-73.42857360839844
1718126553.7139645,132800,-67.15872955322266
1718126595.3809116,134400,-65.55311584472656
1718126685.4319732,137600,-53.015872955322266
1718126728.7796476,139200,-75.9169692993164
1718126867.9723396,144000,-79.07275390625
1718126916.2701395,145600,-70.53472137451172
1718127145.1332386,153600,-77.42110443115234
1718127327.9544044,160000,-45.484127044677734
1718127374.1789935,161600,-67.83950805664062
1718127510.5877159,166400,-70.29277038574219
1718127653.2982187,171200,-60.2896842956543
1718127700.1504514,172800,-56.519840240478516
1718127790.500097,176000,-50.916099548339844
1718128019.3182588,184000,-80.20811462402344
1718128115.184625,187200,-64.50340270996094
1718128334.6676533,195200,-67.38359832763672
1718128517.67705,201600,-70.61587524414062
1718128560.3164968,203200,-55.0490608215332
1718128649.3963408,206400,-36.275794982910156
1718128735.7290058,209600,-70.41058349609375
1718128782.019956,211200,-53.095237731933594
1718128824.8144422,212800,-82.25595092773438
1718128911.8610237,216000,-69.67965698242188
1718128997.3230681,219200,-40.068782806396484
1718129043.9845662,220800,-52.27425003051758
1718129320.4923387,230400,-49.2156867980957
1718129364.5261602,232000,-58.97392272949219
1718129456.815332,235200,-59.84303283691406
1718129501.4438736,236800,-66.92918395996094
1718129650.8122687,241600,-41.995765686035156
1718130007.4621296,252800,-56.02020263671875
1718130110.0505114,256000,-50.876983642578125
1718130159.98385,257600,-55.53174591064453
1718130259.0742202,260800,-53.3217887878418
1718130348.5469534,264000,-76.64603424072266
1718130432.3847501,267200,-64.67619323730469
1718130605.648954,273600,-57.95502471923828
1718130652.3368168,275200,-35.0
1718130697.9706943,276800,-67.2086181640625
1718130836.410735,281600,-64.57301330566406
1718130881.5446835,283200,-61.5506706237793
1718130926.3462524,284800,-60.86349105834961
1718130972.2153308,286400,-74.5362777709961
1718131061.7925944,289600,-61.32936477661133
1718131103.2994535,291200,-70.01220703125
1718131225.7603443,296000,-69.66534423828125
1718131264.4968455,297600,-58.223663330078125
1718131305.1651492,299200,-59.60740661621094
1718131431.306364,304000,-62.27594757080078
1718131471.2237017,305600,-47.69682693481445
1718131513.0429049,307200,-67.59976959228516
1718131553.2048128,308800,-52.404762268066406
1718131675.935535,313600,-63.4952392578125
1718131797.3040903,318400,-51.739925384521484
1718131838.1229517,320000,-54.80290985107422
1718131879.7748177,321600,-74.24943542480469
1718131964.5472085,324800,-64.04920959472656
1718132003.6622038,326400,-64.95604705810547
1718132043.7746465,328000,-70.96031951904297
1718132083.4227908,329600,-54.79576873779297
1718132166.365405,332800,-62.14603042602539
1718132255.625799,336000,-50.765079498291016
1718132334.0339286,339200,-49.97618865966797
1718132422.432601,342400,-67.6463851928711
1718132530.8150291,345600,-67.5589599609375
1718132581.5051832,347200,-51.4193115234375
1718132682.516992,350400,-79.54602813720703
1718132732.4134154,352000,-52.11587142944336
1718132782.4441993,353600,-60.8775520324707
1718132837.098436,355200,-74.30370330810547
1718132892.2369044,356800,-62.834468841552734
1718132993.044685,360000,-56.879119873046875
1718133043.08332,361600,-43.720237731933594
1718133244.2235503,368000,-74.18903350830078
1718133392.2562673,372800,-55.60581970214844
1718133548.7360349,377600,-69.08163452148438
1718133647.8599777,380800,-74.82892608642578
1718133699.2566268,382400,-63.011695861816406
1718133749.9143224,384000,-52.52539825439453
1718133853.3629768,387200,-48.69408416748047
1718133905.2974439,388800,-41.11269760131836
1718133984.8181112,392000,-64.38461303710938
1718134025.084516,393600,-66.36309814453125
1718134065.1972907,395200,-50.46957778930664
1718134108.8996758,396800,-50.411109924316406
1718134312.005915,404800,-62.125221252441406
1718134355.263292,406400,-59.15797424316406
1718134393.5631034,408000,-81.8452377319336
1718134515.4575691,412800,-53.20634841918945
1718134556.1899421,414400,-64.16963958740234
1718134595.7513335,416000,-62.6478157043457
1718134638.9449992,417600,-84.22380828857422
1718134717.7433703,420800,-71.96825408935547
1718135055.8448322,433600,-42.266178131103516
1718135095.9816165,435200,-75.32440185546875
1718135221.0452995,440000,-72.0456314086914
1718135263.0011032,441600,-56.93040466308594
1718135303.5643718,443200,-64.73611450195312
1718135400.9742374,446400,-58.78571319580078
1718135505.2183206,449600,-57.43783187866211
1718135605.7788086,452800,-63.0523796081543
1718135656.4969497,454400,-37.93016052246094
1718135757.9143186,457600,-59.67120361328125
1718135863.7743564,460800,-43.96825408935547
1718135914.8787596,462400,-67.6031723022461
1718136016.3782184,465600,-72.2465591430664
1718136269.2866943,473600,-79.83333587646484
1718136321.8314457,475200,-79.36607360839844
1718136373.218706,476800,-67.40589904785156
1718136424.96274,478400,-49.79861068725586
1718136481.1111548,480000,-58.008548736572266
1718136738.0344558,488000,-65.14762115478516
1718136841.2213817,491200,-66.91609954833984
1718136888.4515777,492800,-40.087303161621094
1718136930.3837085,494400,-62.099205017089844
1718136971.4138663,496000,-50.85396957397461
1718137092.5546074,500800,-58.36860656738281
1718137131.2005556,502400,-69.29277038574219
1718137250.1933079,507200,-74.51648712158203
1718137334.7765076,510400,-55.052154541015625
1718137376.5003467,512000,-58.71335220336914
1718137495.9275742,516800,-57.266441345214844
1718137574.0203466,520000,-66.0809555053711
1718137778.3073285,528000,-55.30952453613281
1718137816.8931658,529600,-80.02020263671875
1718137860.5493724,531200,-61.50340270996094
1718137903.4288912,532800,-55.35287094116211
1718138105.748019,540800,-86.6575927734375
1718138148.5853941,542400,-40.67887496948242
1718138226.951625,545600,-46.79024887084961
1718138343.9269202,550400,-79.17315673828125
1718138385.08008,552000,-36.79076385498047
1718138426.0654526,553600,-76.57020568847656
1718138466.4340255,555200,-68.36032104492188
1718138555.4045815,558400,-53.83028030395508
1718138651.3360114,561600,-75.40548706054688
1718138746.904713,564800,-52.13932800292969
1718138786.7442143,566400,-82.6854248046875
1718138826.8276284,568000,-65.18452453613281
1718138865.948115,569600,-71.74920654296875
1718138997.7851737,574400,-69.26507568359375
1718139077.803071,577600,-81.78483581542969
1718139156.516674,580800,-58.18437194824219
1718139194.068447,582400,-80.84920501708984
1718139238.0582573,584000,-58.03472137451172
1718139278.9692588,585600,-65.30158996582031
1718139318.8136566,587200,-68.62471771240234
1718139364.8642292,588800,-67.63347625732422
1718139403.9124272,590400,-68.9174575805664
1718139675.4257972,600000,-77.07256317138672
1718139823.6246579,604800,-65.6706314086914
1718139865.3218725,606400,-64.96969604492188
1718140144.6530638,617600,-68.51058197021484
1718140184.170217,619200,-68.56462860107422
1718140341.854223,625600,-60.08928680419922
1718140382.1128914,627200,-61.50634765625
1718140433.2916389,628800,-64.4981689453125
1718140485.3778195,630400,-81.37950897216797
1718140535.4724667,632000,-64.73174285888672
1718140586.555579,633600,-40.47907638549805
1718140641.1906176,635200,-60.92063522338867
1718140694.5489514,636800,-83.04444122314453
1718140744.606836,638400,-56.508995056152344
1718140793.657311,640000,-64.78998565673828
1718140890.9902298,643200,-58.918365478515625
1718140941.753064,644800,-62.26388931274414
1718141048.4967163,648000,-55.892417907714844
1718141230.9279566,654400,-72.57495880126953
1718141277.8425221,656000,-64.9329833984375
1718141409.4932456,660800,-73.23809814453125
1718141454.0962214,662400,-84.98412322998047
1718141510.17671,664000,-68.80000305175781
1718141562.5972536,665600,-68.67989349365234
1718141719.2970257,670400,-62.737213134765625
1718141866.916867,675200,-62.263492584228516
1718141912.8572068,676800,-64.46031951904297
1718142065.8120942,681600,-81.16468048095703
1718142115.8472474,683200,-80.94709014892578
1718142317.313151,689600,-65.71163940429688
1718142367.4812987,691200,-71.66089630126953
