Wall time,Step,Value
1723643668.4095566,1088,20.0
1723643855.4611495,2224,30.0
1723643997.0279174,3232,51.0
1723644191.7555845,4304,51.0
1723644358.4908447,5344,20.0
1723644495.9137385,6416,36.0
1723644629.1902244,7472,21.0
1723644768.3233848,8480,51.0
1723644933.1926162,9520,51.0
1723645954.6087117,10528,14.0
1723646136.4545918,11584,51.0
1723646316.4170144,12640,10.0
1723646457.3135953,13648,42.0
1723646607.2115054,14672,51.0
1723646765.637544,15696,51.0
1723646938.1388586,16720,4.0
1723647094.8509839,17760,5.0
1723647275.2561758,18768,15.0
1723647439.5782986,19824,31.0
1723647594.5433202,20832,39.0
1723647759.9215457,21840,51.0
1723647927.0082123,22848,4.0
1723648090.6795938,23888,38.0
1723648271.866449,24912,40.0
1723648435.3273046,25920,51.0
1723648616.9323943,26928,51.0
1723648788.3096323,27952,3.0
1723648933.9630451,28976,51.0
1723649073.4409935,30000,9.0
1723649241.6324847,31008,51.0
1723649420.1031337,32064,40.0
1723649609.675579,33120,40.0
1723649801.380099,34192,51.0
1723649962.1853704,35216,42.0
1723650158.5456617,36240,41.0
1723650335.5321188,37264,51.0
1723650508.9912822,38272,2.0
1723650703.6160698,39344,51.0
1723650907.824749,40416,35.0
1723651094.3128014,41456,51.0
1723651303.1392317,42512,28.0
1723651479.1374779,43552,51.0
1723651658.8259308,44560,8.0
1723651819.696924,45616,11.0
1723651969.3768883,46640,51.0
1723652120.2291312,47664,26.0
1723652286.287026,48688,41.0
1723652464.3169727,49712,20.0
1723652636.7680473,50800,41.0
1723653401.875568,51904,51.0
1723653573.514533,52944,31.0
1723653736.8387516,53952,51.0
1723653914.6754959,54976,48.0
1723654095.8594341,55984,51.0
1723654294.4052074,56992,51.0
1723654491.792023,58016,5.0
1723654674.3825443,59072,51.0
1723654895.4919698,60096,51.0
1723655105.667824,61104,16.0
1723655343.7023787,62112,2.0
1723655554.3550246,63120,28.0
1723655751.9730887,64128,51.0
1723655905.2006702,65136,24.0
1723656083.1415563,66144,4.0
1723656240.3382993,67152,51.0
1723656466.6584454,68176,43.0
1723656717.2463026,69200,51.0
1723656931.8847978,70208,51.0
1723657131.2496572,71264,7.0
1723657351.0247254,72336,44.0
1723657529.9946554,73344,1.0
1723657706.7855833,74384,15.0
1723657873.7920005,75392,51.0
1723658036.0392742,76400,15.0
1723658195.3995728,77456,48.0
1723658363.6959734,78528,17.0
1723658506.6120863,79568,51.0
1723658649.8662097,80608,51.0
1723658793.5476444,81648,10.0
1723658975.9170396,82656,7.0
1723659205.9933686,83680,25.0
1723659462.557346,84704,51.0
1723659749.650218,85728,51.0
1723660058.392054,86736,28.0
1723660312.651255,87808,51.0
1723660601.848567,88832,51.0
1723660887.6535134,89936,51.0
1723661199.8532507,90992,51.0
