Wall time,Step,Value
1723643668.4093525,1088,20.0
1723643855.4609973,2224,30.0
1723643997.0277061,3232,51.0
1723644191.755381,4304,51.0
1723644358.4905014,5344,20.0
1723644495.9134817,6416,36.0
1723644629.1900606,7472,21.0
1723644768.3231647,8480,51.0
1723644933.1924179,9520,51.0
1723645954.6085951,10528,14.0
1723646136.4543862,11584,51.0
1723646316.4168398,12640,5.5
1723646457.3134143,13648,42.0
1723646607.2113442,14672,51.0
1723646765.6373599,15696,51.0
1723646938.1386826,16720,4.0
1723647094.8506896,17760,5.0
1723647275.2559123,18768,15.0
1723647439.5780985,19824,25.0
1723647594.5431874,20832,39.0
1723647759.9213727,21840,51.0
1723647927.0080764,22848,4.0
1723648090.6793852,23888,38.0
1723648271.8662546,24912,40.0
1723648435.327123,25920,51.0
1723648616.9321704,26928,51.0
1723648788.3094318,27952,3.0
1723648933.9628685,28976,27.5
1723649073.4407413,30000,9.0
1723649241.632277,31008,51.0
1723649420.1022623,32064,40.0
1723649609.6753798,33120,40.0
1723649801.3799047,34192,51.0
1723649962.18508,35216,42.0
1723650158.5454147,36240,35.0
1723650335.5319042,37264,51.0
1723650508.9911473,38272,2.0
1723650703.615879,39344,32.5
1723650907.824587,40416,26.0
1723651094.3125978,41456,51.0
1723651303.1389937,42512,28.0
1723651479.137319,43552,51.0
1723651658.8256776,44560,8.0
1723651819.6966686,45616,11.0
1723651969.37674,46640,51.0
1723652120.2288735,47664,26.0
1723652286.2868197,48688,41.0
1723652464.316784,49712,20.0
1723652636.767838,50800,27.0
1723653401.8753526,51904,41.33333206176758
1723653573.5142496,52944,31.0
1723653736.838548,53952,30.66666603088379
1723653914.6753385,54976,48.0
1723654095.8592045,55984,51.0
1723654294.4049876,56992,51.0
1723654491.791853,58016,5.0
1723654674.3823862,59072,51.0
1723654895.49175,60096,39.0
1723655105.6675477,61104,16.0
1723655343.7021034,62112,2.0
1723655554.354849,63120,28.0
1723655751.9728792,64128,51.0
1723655905.2004678,65136,14.0
1723656083.1413558,66144,4.0
1723656240.3380961,67152,37.0
1723656466.6581614,68176,43.0
1723656717.2460732,69200,51.0
1723656931.884625,70208,51.0
1723657131.2494152,71264,7.0
1723657351.0240428,72336,44.0
1723657529.9944592,73344,1.0
1723657706.7853818,74384,14.5
1723657873.7918208,75392,26.66666603088379
1723658036.0391011,76400,15.0
1723658195.3993962,77456,45.0
1723658363.6957848,78528,17.0
1723658506.6119118,79568,46.5
1723658649.8659976,80608,36.5
1723658793.5474277,81648,10.0
1723658975.916792,82656,7.0
1723659205.9924557,83680,20.5
1723659462.555649,84704,27.5
1723659749.6498935,85728,30.5
1723660058.391735,86736,27.0
1723660312.6510162,87808,46.5
1723660601.8482394,88832,51.0
1723660887.6522655,89936,51.0
1723661199.8529081,90992,51.0
