Wall time,Step,Value
1723643668.409285,1088,-17.20833396911621
1723643855.4609241,2224,-27.94444465637207
1723643997.027638,3232,-40.5
1723644191.7553148,4304,-44.43055725097656
1723644358.4904304,5344,-17.91666603088379
1723644495.9134111,6416,-32.41666793823242
1723644629.189994,7472,-19.80555534362793
1723644768.3230813,8480,-47.61111068725586
1723644933.1923444,9520,-46.98611068725586
1723645954.6085393,10528,-12.541666984558105
1723646136.4542727,11584,-44.56944274902344
1723646316.4167843,12640,-3.6388888359069824
1723646457.31336,13648,-35.73611068725586
1723646607.211287,14672,-43.55555725097656
1723646765.6372585,15696,-46.02777862548828
1723646938.1385744,16720,-2.125
1723647094.8506074,17760,-3.847222328186035
1723647275.255836,18768,-12.777777671813965
1723647439.577984,19824,-18.59027862548828
1723647594.5431173,20832,-31.625
1723647759.9212914,21840,-46.59722137451172
1723647927.0080035,22848,-3.0416667461395264
1723648090.6793163,23888,-32.30555725097656
1723648271.8661156,24912,-33.40277862548828
1723648435.3270476,25920,-46.29166793823242
1723648616.9320278,26928,-47.52777862548828
1723648788.3093545,27952,-1.8888888359069824
1723648933.9628007,28976,-24.65972137451172
1723649073.4406695,30000,-6.263888835906982
1723649241.6322088,31008,-46.98611068725586
1723649420.1021385,32064,-30.86111068725586
1723649609.67529,33120,-32.02777862548828
1723649801.3798287,34192,-44.25
1723649962.1849966,35216,-29.76388931274414
1723650158.545345,36240,-27.620370864868164
1723650335.5318344,37264,-41.22222137451172
1723650508.9910765,38272,-1.0416666269302368
1723650703.615802,39344,-28.97222137451172
1723650907.8245118,40416,-22.08333396911621
1723651094.3125134,41456,-45.41666793823242
1723651303.1389148,42512,-24.16666603088379
1723651479.1372502,43552,-45.47222137451172
1723651658.8256047,44560,-6.56944465637207
1723651819.6965945,45616,-9.458333015441895
1723651969.3766646,46640,-45.73611068725586
1723652120.2288036,47664,-20.63888931274414
1723652286.286745,48688,-34.86111068725586
1723652464.316683,49712,-17.25
1723652636.7676253,50800,-22.58333396911621
1723653401.8752973,51904,-36.64814758300781
1723653573.5141616,52944,-25.88888931274414
1723653736.8384798,53952,-26.518518447875977
1723653914.6752696,54976,-38.29166793823242
1723654095.8590844,55984,-41.56944274902344
1723654294.4049108,56992,-47.31944274902344
1723654491.7917624,58016,-3.6111111640930176
1723654674.3823116,59072,-43.26388931274414
1723654895.4916673,60096,-34.20833206176758
1723655105.667471,61104,-13.583333015441895
1723655343.7019503,62112,-1.0416666269302368
1723655554.3547456,63120,-22.98611068725586
1723655751.9728036,64128,-44.79166793823242
1723655905.2003498,65136,-11.74305534362793
1723656083.1412477,66144,-3.0
1723656240.3379922,67152,-32.13888931274414
1723656466.6580784,68176,-32.41666793823242
1723656717.2459936,69200,-44.56944274902344
1723656931.8845527,70208,-42.45833206176758
1723657131.2492921,71264,-4.833333492279053
1723657351.0239155,72336,-39.125
1723657529.9943857,73344,-0.0416666679084301
1723657706.785312,74384,-12.597222328186035
1723657873.7917511,75392,-22.731481552124023
1723658036.039025,76400,-11.958333015441895
1723658195.3993292,77456,-38.54861068725586
1723658363.6956818,78528,-13.13888931274414
1723658506.6118429,79568,-41.38888931274414
1723658649.8659248,80608,-31.02083396911621
1723658793.5473568,81648,-5.513888835906982
1723658975.9167101,82656,-4.30555534362793
1723659205.9920468,83680,-18.47916603088379
1723659462.5554883,84704,-22.33333396911621
1723659749.649717,85728,-27.02777862548828
1723660058.391564,86736,-24.36805534362793
1723660312.650901,87808,-38.77777862548828
1723660601.8479784,88832,-40.98611068725586
1723660887.6520367,89936,-44.66666793823242
1723661199.8527513,90992,-43.02777862548828
