Wall time,Step,Value
1723643668.409336,1088,-17.20833396911621
1723643855.4609807,2224,-27.94444465637207
1723643997.0276892,3232,-40.5
1723644191.7553644,4304,-44.43055725097656
1723644358.490484,5344,-17.91666603088379
1723644495.913464,6416,-32.41666793823242
1723644629.1900442,7472,-19.80555534362793
1723644768.3231363,8480,-47.61111068725586
1723644933.1923988,9520,-46.98611068725586
1723645954.6085813,10528,-12.541666984558105
1723646136.4543567,11584,-44.56944274902344
1723646316.416826,12640,-7.236111164093018
1723646457.313401,13648,-35.73611068725586
1723646607.2113304,14672,-43.55555725097656
1723646765.6373348,15696,-46.02777862548828
1723646938.1386545,16720,-2.125
1723647094.8506691,17760,-3.847222328186035
1723647275.255893,18768,-12.777777671813965
1723647439.57807,19824,-23.75
1723647594.54317,20832,-31.625
1723647759.9213524,21840,-46.59722137451172
1723647927.0080585,22848,-3.0416667461395264
1723648090.679368,23888,-32.30555725097656
1723648271.8662205,24912,-33.40277862548828
1723648435.3271048,25920,-46.29166793823242
1723648616.9321392,26928,-47.52777862548828
1723648788.3094132,27952,-1.8888888359069824
1723648933.9628515,28976,-46.27777862548828
1723649073.4407237,30000,-6.263888835906982
1723649241.6322598,31008,-46.98611068725586
1723649420.1022294,32064,-30.86111068725586
1723649609.675349,33120,-32.02777862548828
1723649801.3798862,34192,-44.25
1723649962.1850595,35216,-29.76388931274414
1723650158.5453975,36240,-33.70833206176758
1723650335.531887,37264,-41.22222137451172
1723650508.99113,38272,-1.0416666269302368
1723650703.615861,39344,-46.31944274902344
1723650907.8245685,40416,-30.54166603088379
1723651094.312577,41456,-45.41666793823242
1723651303.1389742,42512,-24.16666603088379
1723651479.1373022,43552,-45.47222137451172
1723651658.8256593,44560,-6.56944465637207
1723651819.6966503,45616,-9.458333015441895
1723651969.3767214,46640,-45.73611068725586
1723652120.228856,47664,-20.63888931274414
1723652286.2868006,48688,-34.86111068725586
1723652464.3167658,49712,-17.25
1723652636.7677999,50800,-33.55555725097656
1723653401.875339,51904,-44.80555725097656
1723653573.5142288,52944,-25.88888931274414
1723653736.8385313,53952,-44.79166793823242
1723653914.6753216,54976,-38.29166793823242
1723654095.8591747,55984,-41.56944274902344
1723654294.4049687,56992,-47.31944274902344
1723654491.7918236,58016,-3.6111111640930176
1723654674.3823678,59072,-43.26388931274414
1723654895.4917297,60096,-45.26388931274414
1723655105.6675286,61104,-13.583333015441895
1723655343.7020667,62112,-1.0416666269302368
1723655554.3548303,63120,-22.98611068725586
1723655751.9728608,64128,-44.79166793823242
1723655905.2004428,65136,-20.48611068725586
1723656083.1413288,66144,-3.0
1723656240.3380709,67152,-43.36111068725586
1723656466.6581407,68176,-32.41666793823242
1723656717.2460537,69200,-44.56944274902344
1723656931.8846073,70208,-42.45833206176758
1723657131.2493842,71264,-4.833333492279053
1723657351.0240095,72336,-39.125
1723657529.9944413,73344,-0.0416666679084301
1723657706.785365,74384,-13.652777671813965
1723657873.7918038,75392,-44.19444274902344
1723658036.0390828,76400,-11.958333015441895
1723658195.3993795,77456,-42.27777862548828
1723658363.6957548,78528,-13.13888931274414
1723658506.6118948,79568,-46.375
1723658649.86598,80608,-43.88888931274414
1723658793.54741,81648,-5.513888835906982
1723658975.9167717,82656,-4.30555534362793
1723659205.9924178,83680,-21.91666603088379
1723659462.5556083,84704,-42.01388931274414
1723659749.6498497,85728,-46.11111068725586
1723660058.391693,86736,-25.29166603088379
1723660312.6509926,87808,-41.43055725097656
1723660601.8481984,88832,-40.98611068725586
1723660887.6522207,89936,-44.66666793823242
1723661199.8528686,90992,-43.02777862548828
